date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:51	59093/59093	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Jun%202023%2015:01:54%20GMT	https://landlord.ua/wp-content/page/toyota/	C:/web/1/landlord.ua/wp-content/page/toyota/index.html	(from )
17:56:51	184/184	---MCZ	200	added ('OK')	text/plain	date:Wed,%2014%20Jun%202023%2015:01:54%20GMT	https://landlord.ua/robots.txt		(from )
17:56:52	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2014%20Jun%202023%2015:01:55%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/web/1/www.googletagmanager.com/gtm.05445.delayed	(from https://landlord.ua/wp-content/page/toyota/)
17:56:52	97517/97517	---MCZ	200	added ('OK')	text/css	etag:W/%226459433d-17ced%22	https://landlord.ua/wp-includes/css/dist/block-library/style.min.css	C:/web/1/landlord.ua/wp-includes/css/dist/block-library/style.min.css	(from https://landlord.ua/wp-content/page/toyota/)
17:56:52	3037/3037	---MCZ	200	added ('OK')	text/css	etag:W/%225be80239-bdd%22	https://landlord.ua/wp-content/plugins/landlord_quiz/css/wpProQuiz_front.min.css	C:/web/1/landlord.ua/wp-content/plugins/landlord_quiz/css/wpProQuiz_front.min.css	(from https://landlord.ua/wp-content/page/toyota/)
17:56:52	152767/152767	---MCZ	200	added ('OK')	text/css	etag:W/%225c38abd4-254bf%22	https://landlord.ua/wp-content/themes/landlord/includes/vendor/bootstrap/css/bootstrap.css	C:/web/1/landlord.ua/wp-content/themes/landlord/includes/vendor/bootstrap/css/bootstrap.css	(from https://landlord.ua/wp-content/page/toyota/)
17:56:52	433/433	---MCZ	200	added ('OK')	text/css	etag:W/%225c38abd3-1b1%22	https://landlord.ua/wp-content/themes/landlord/includes/vendor/morris/morris.css	C:/web/1/landlord.ua/wp-content/themes/landlord/includes/vendor/morris/morris.css	(from https://landlord.ua/wp-content/page/toyota/)
17:56:53	17190/17190	---MCZ	200	added ('OK')	text/css	etag:W/%225c38abdd-4326%22	https://landlord.ua/wp-content/themes/landlord/includes/vendor/datepicker/dist/css/bootstrap-datepicker.css	C:/web/1/landlord.ua/wp-content/themes/landlord/includes/vendor/datepicker/dist/css/bootstrap-datepicker.css	(from https://landlord.ua/wp-content/page/toyota/)
17:56:53	20766/20766	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:53%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css	C:/web/1/maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css	(from https://landlord.ua/wp-content/page/toyota/)
17:56:53	41934/41934	---MCZ	200	added ('OK')	text/css	etag:W/%225c6d6d5c-a3ce%22	https://landlord.ua/wp-content/themes/landlord/includes/css/style.css	C:/web/1/landlord.ua/wp-content/themes/landlord/includes/css/style.css	(from https://landlord.ua/wp-content/page/toyota/)
